제조사코드,제조사명,제조사 주소,홈페이지주소,등록일
0791,성진세미텍(주),"경기 시흥시 마유로 238번길 15, 3나동 108호 ",www.sjsemitech.com/main/main.php,2022-12-01 오후 01:13:28
0793,성진정밀,경북 구미시 3공단3로 104-7,www.sj-press.com/,2022-12-01 오후 01:13:28
0794,성진정밀기계,대구 서구 서대구로63길 15 ,,2022-12-01 오후 01:13:28
0795,성진테크(주),경남 김해시 진영읍 서부로 179번길 39-86,www.sungjintech.kr/ko/index.php,2022-12-01 오후 01:13:28
0796,(주)성진텍,경북 성주군 대가면 참별로 2288 ,www.damenda.kr/,2022-12-01 오후 01:13:28
0798,성창유한회사,대구 서구 비산동 2880 ,,2022-12-01 오후 01:13:28
0800,성호산업,인천 서구 가정로 58번길 23 ,www.xn--ob0bjxf15bh8p8td.biz/default/,2022-12-01 오후 01:13:28
0802,세건티앤에스,경기 경기 안성시 미양면 안성맞춤대로 351 ,,2022-12-01 오후 01:13:28
0803,(유)세계로냉동상사,전주 완산구 태진로 10 ,www.xn--989a79eh3c7rg79m.com/g4/html/index.htm,2022-12-01 오후 01:13:28
0804,(주)세계전자,"대구 달서구 성서로 229, 302호 ",,2022-12-01 오후 01:13:28
0805,세기교역상사,충북 진천군 이월면 신월리 337-30번지,www.skrtn.com/,2022-12-01 오후 01:13:28
0806,세기(주),경상북도 포항시 남구 철강산단로 202,www.segiglobal.co.kr/,2022-12-01 오후 01:13:28
0807,(주)세림농기계,제주 제주시 구좌읍 세화남3길 4 ,,2022-12-01 오후 01:13:28
0808,세림쵸프밀(주),경상북도 경산시 자인면 을옥길 31-24,www.serimmachine.com/,2022-12-01 오후 01:13:28
0810,세신종합기계,경북 의성군 봉양면 분토1길 29 ,seshine.co.kr/,2022-12-01 오후 01:13:28
0811,세아그로텍(주),광주 광산구 진곡산단5번로 57-5 ,naju.bizdaara.com/,2022-12-01 오후 01:13:28
0813,(주)세안농기계,광주 북구 첨단벤처로60번길 25,sean.machineyh.co.kr/cafe/skin_5/case.mc,2022-12-01 오후 01:13:28
0814,세안이노텍(주),광주 광산구 평동산단2번로 189,seaan5853.bizdaara.com/,2022-12-01 오후 01:13:28
0816,세운물산(주),경북 칠곡군 가산면 경북대로 1495 ,www.sewoonms.com/,2022-12-01 오후 01:13:28
0817,(주)세웅,전북 남원시 광치산업1길 17-22 ,sewoong.koreasme.com,2022-12-01 오후 01:13:28
0819,세원기계,충남 천안시 서북구 성환읍 연암율금로 153 ,https://sewone.modoo.at/,2022-12-01 오후 01:13:28
0821,세원산기(주),경기 평택시 유천3길 43 ,,2022-12-01 오후 01:13:28
0822,세원산업(주),충남 아산시 도고면 금산길 11 ,,2022-12-01 오후 01:13:28
0826,세종이엔씨(주),충청남도 청양군 정산면 정현길 47,www.sjenc.co.kr/,2022-12-01 오후 01:13:28
0827,세종테크(주),경기도 부천시 오정구 오정로 133번길 34,www.sejongsci.co.kr/,2022-12-01 오후 01:13:28
0828,(주)세종하이텍,충청북도 청주시 서원구 남이면 부용외천2길 13-15,sejonght.com/home/main.php,2022-12-01 오후 01:13:28
0829,세진테크,인천광역시 남동구 능허대로649번길 89,www.sejintech.co.kr/,2022-12-01 오후 01:13:28
0830,세창기계,경북 영천시 장수로 249 ,https://www.sechangmachine.com/,2022-12-01 오후 01:13:28
0831,(주)세코,전북 남원시 주천면 웅치길 55-16 ,,2022-12-01 오후 01:13:28
0832,세한,경북 김천시 체육공원길 167-71 ,www.sehansorter.co.kr/,2022-12-01 오후 01:13:28
0833,세한테크(주),부산광역시 강서구 녹산산업중로 66,www.sehantech.kr/html/main.php,2022-12-01 오후 01:13:28
0834,세협기계(주),충남 아산시 염치읍 동정길 37 ,sehyup.com/main/main.php,2022-12-01 오후 01:13:28
0835,세형아마존,전북 익산시 낭산면 낭산농공단지길 13 ,www.sehyung-amazone.kr/,2022-12-01 오후 01:13:28
0836,(주)센추리,경북 청도군 청도읍 월곡2길 49 ,,2022-12-01 오후 01:13:28
0840,(주)솔빛,"서울 용산구 원효로 138, 504호 ",slvt.co.kr/,2022-12-01 오후 01:13:28
0841,송림참바람,경상남도 밀양시 교동 833-3,https://m.blog.daum.net/songlimwing,2022-12-01 오후 01:13:28
0842,송암농기계,전남 나주시 산포면 산남로 17 ,songamfm.co.kr/,2022-12-01 오후 01:13:28
0844,(주)송현,전남 함평군 학교면 영산로 3763 ,www.songhyun.kr/,2022-12-01 오후 01:13:28
0845,수경테크,경기도 시흥시 군자천로 119번길 16,www.sukyoungtech.com/,2022-12-01 오후 01:13:28
0846,(주)수국,경기 이천시 신둔면 원적로 290번길 107 ,www.sookook.co.kr/,2022-12-01 오후 01:13:28
0850,(주)스마트난방,부산 사상구 새벽로 223번길 55 ,,2022-12-01 오후 01:13:28
0851,스케일트론(주),광주광역시 광산구 손재로 436-39,www.scaletron.kr/pc/,2022-12-01 오후 01:13:28
0854,승진상사,경북 예천군 예천읍 백전리 119-2,www.sjsangsa.co.kr,2022-12-01 오후 01:13:28
0855,승진프로슈머,경북 예천군 예천읍 상동길 40 ,sjprosumer.com/,2022-12-01 오후 01:13:28
0856,승한기계(주),경상북도 성주군 용암면 사곡길 192,https://blog.naver.com/shm1332,2022-12-01 오후 01:13:28
0857,승화공업사,경북 칠곡군 왜관읍 아곡7길 10 ,www.seunghwaburner.com/,2022-12-01 오후 01:13:28
0858,(주)시스웍스,경기도 평택시 청북읍 드림산단3로 95,www.sysworks.co.kr/,2022-12-01 오후 01:13:28
0859,(주)시스코,충남 천안시 서북구 입장면 연곡길 172-30 ,,2022-12-01 오후 01:13:28
0860,시즈오카한성(주),전북 익산시 보석로4길 29 ,www.shizuokahansung.co.kr/,2022-12-01 오후 01:13:28
0861,신광산업,대구 달서구 성서공단로25길 51 ,,2022-12-01 오후 01:13:28
0862,신농(주),경북 김천시 공단로 100-1 ,www.shin-nong.com/v2/kor/index.htm,2022-12-01 오후 01:13:28
0865,신동양산업,"대구광역시 서구 팔달로 34, 3층",sdyenc.com/,2022-12-01 오후 01:13:28
